platform,category,amount,transaction_type,location,hour,is_peak,is_urban,fee,speed_seconds,success,flagged
M-PESA,mobile,10400.0,Airtime/Bundles,Mbeya,20,1,0,200,20,1,0
NBC Bank,bank,24800.0,Bank Transfer,Dodoma,20,1,0,1000,31,1,0
TTCL Pesa,mobile,63600.0,Airtime/Bundles,Mbeya,5,0,0,477,24,1,0
NMB Bank,bank,29100.0,Airtime/Bundles,Mwanza,1,0,1,1000,29,1,0
Halo-Pesa,mobile,56300.0,Bill Payment,Morogoro,3,0,0,405,23,1,0
Halo-Pesa,mobile,13700.0,Mobile Money Transfer,Mbeya,19,1,0,200,23,1,0
CRDB Bank,bank,88600.0,Airtime/Bundles,Dodoma,19,1,0,1000,28,1,0
AzamPay/Selcom,aggregator,41800.0,Salary Payment,Arusha,5,0,1,300,22,1,1
NBC Bank,bank,77500.0,Airtime/Bundles,Mbeya,16,0,0,1000,28,1,0
Airtel Money,mobile,218400.0,Bill Payment,Tanga,15,0,0,1529,21,1,0
CRDB Bank,bank,85300.0,Bank Transfer,Zanzibar,7,1,0,1000,27,1,0
TTCL Pesa,mobile,7900.0,Mobile Money Transfer,Arusha,19,1,1,200,24,1,0
Airtel Money,mobile,43900.0,Bank Transfer,Iringa,15,0,0,307,21,1,0
M-PESA,mobile,23000.0,Airtime/Bundles,Zanzibar,16,0,0,200,16,1,0
TTCL Pesa,mobile,80700.0,Airtime/Bundles,Dodoma,9,0,0,605,26,1,0
M-PESA,mobile,7400.0,Bill Payment,Iringa,8,1,0,200,22,1,0
Mixx by Yas,mobile,88000.0,Airtime/Bundles,Zanzibar,10,0,0,598,18,1,0
TTCL Pesa,mobile,4600.0,Airtime/Bundles,Mwanza,19,1,1,200,28,1,0
TTCL Pesa,mobile,48000.0,Airtime/Bundles,Mwanza,15,0,1,360,26,1,0
TTCL Pesa,mobile,47300.0,Merchant Payment,Mbeya,4,0,0,355,24,1,0
NBC Bank,bank,11900.0,Merchant Payment,Iringa,13,1,0,1000,29,1,0
Bank Transfers (TIPS/EFT),bank,10700.0,Bill Payment,Zanzibar,1,0,0,1500,45,1,0
Airtel Money,mobile,2800.0,Bank Transfer,Kigoma,6,0,0,200,20,1,0
